Name,Artist
good 4 u,Olivia Rodrigo
Bad Habits,Ed Sheeran
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
MONTERO (Call Me By Your Name),Lil Nas X
Permission to Dance,BTS
Blinding Lights,The Weeknd
Astronaut In The Ocean,Masked Wolf
Watermelon Sugar,Harry Styles
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW
Smells Like Teen Spirit,Nirvana
Wake Me Up,Avicii
Wild Side (feat. Cardi B),Normani
Demeanor (feat. Dua Lipa),Pop Smoke
Dior,Pop Smoke
The Real Slim Shady,Eminem
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
MANIFESTO (feat. Domo Genesis),"Tyler, The Creator"
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis
Laugh Now Cry Later (feat. Lil Durk),Drake
No Role Modelz,J. Cole
SICKO MODE,Travis Scott
Rain On Me (with Ariana Grande),Lady Gaga
Seeing Green (with Drake & Lil Wayne),Nicki Minaj
Starboy,"The Weeknd, Daft Punk"
Say So,Doja Cat
How You Like That,BLACKPINK
motive (with Doja Cat),Ariana Grande
Can You Feel My Heart,Bring Me The Horizon
Kings & Queens,Ava Max
I CAN'T STOP ME,TWICE
Blinding Lights (with ROSALÍA) - Remix,The Weeknd
Thriller,Michael Jackson
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott
forget me too (feat. Halsey),Machine Gun Kelly
bloody valentine,Machine Gun Kelly
WHATS POPPIN,Jack Harlow
GOOBA,6ix9ine
Not Shy,ITZY
ON,BTS
Flex (feat. Juice WRLD),Polo G
Ransom,Lil Tecca
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus"
Monster,Red Velvet - IRENE & SEULGI
YAYA,6ix9ine
Make It Rain (feat. Rowdy Rebel),Pop Smoke
Creature (feat. Swae Lee),Pop Smoke
Emotionally Scarred,Lil Baby
MORE & MORE,TWICE
Girls in the Hood,Megan Thee Stallion
Parasite Eve,Bring Me The Horizon
Kill This Love,BLACKPINK
Stupid Love,Lady Gaga
Make It Rain,"Pop Smoke, Rowdy Rebel"
Turks (with Gunna & ft. Travis Scott),NAV
Daechwita,Agust D
WANNABE,ITZY
Break Up Song,Little Mix
ON (Feat. Sia),BTS
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem
Psycho,Red Velvet
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift
Nice To Meet Ya,Niall Horan
Diamonds (with Normani),Megan Thee Stallion
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake
New Rules,Dua Lipa
THE BADDEST,"K/DA, (G)I-DLE, Wolftyla, Bea Miller, League of Legends"
