Name,Artist
STAY (with Justin Bieber),The Kid LAROI
Kiss Me More (feat. SZA),Doja Cat
Levitating (feat. DaBaby),Dua Lipa
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
Butter,BTS
Pepas,Farruko
Motley Crew,Post Malone
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic"
Don't Go Yet,Camila Cabello
You Right,"Doja Cat, The Weeknd"
Dynamite,BTS
Mood (feat. iann dior),24kGoldn
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5
Bezos I,Bo Burnham
Love Again,Dua Lipa
positions,Ariana Grande
Circles,Post Malone
Levitating,Dua Lipa
Believer,Imagine Dragons
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money
By Your Side (feat. Tom Grennan),Calvin Harris
Shape of You,Ed Sheeran
Senorita,"Shawn Mendes, Camila Cabello"
Hold On,Justin Bieber
ROCKSTAR (feat. Roddy Ricch),DaBaby
Up,Cardi B
goosebumps,Travis Scott
Counting Stars,OneRepublic
Red Light Green Light,DaBaby
For The Night (feat. Lil Baby & DaBaby),Pop Smoke
WAP (feat. Megan Thee Stallion),Cardi B
Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke
One Dance,"Drake, WizKid, Kyla"
Adore You,Harry Styles
Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke
Woo Baby (feat. Chris Brown),Pop Smoke
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions"
We're Good,Dua Lipa
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator"
SIR BAUDELAIRE (feat. DJ Drama),"Tyler, The Creator"
Get Into It (Yuh),Doja Cat
Having Our Way (feat. Drake),Migos
Payday (feat. Young Thug),Doja Cat
m y . l i f e (with 21 Savage & Morray),J. Cole
No Return (with The Kid LAROI & Lil Durk),Polo G
The Box,Roddy Ricch
Anyone,Justin Bieber
Just the Way You Are,Bruno Mars
Break My Heart,Dua Lipa
Lost,Maroon 5
Clueless (with Pop Smoke & Fivio Foreign),Polo G
Golden,Harry Styles
Killer (feat. Jack Harlow & Cordae) - Remix,Eminem
All Girls Are The Same,Juice WRLD
Godzilla (feat. Juice WRLD),Eminem
durag activity (with Travis Scott),Baby Keem
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes
In Your Eyes,The Weeknd
SAD!,XXXTENTACION
You Belong With Me (Taylorâ€™s Version),Taylor Swift
Take You Dancing,Jason Derulo
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow
Deserve You,Justin Bieber
Lemon Pepper Freestyle (feat. Rick Ross),Drake
Die For You (feat. Dominic Fike),Justin Bieber
The Less I Know The Better,Tame Impala
CLOUDS,NF
Lifestyle (feat. Adam Levine),"Jason Derulo, Maroon 5"
I Don't Care (with Justin Bieber),Ed Sheeran
Toosie Slide,Drake
Bad Boy (with Young Thug),Juice WRLD
Cry Baby (feat. DaBaby),Megan Thee Stallion
Vibez,ZAYN
Reminds Me Of You,"Juice WRLD, The Kid LAROI"
Lovesick Girls,BLACKPINK
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke
Ice Cream (with Selena Gomez),BLACKPINK
E-GIRLS ARE RUINING MY LIFE!,"CORPSE, Savage Ga$p"
Smile (with The Weeknd),Juice WRLD
Pretty Savage,BLACKPINK
Savage Love (Laxed â€“ Siren Beat) [BTS Remix],"Jawsh 685, Jason Derulo"
MORE,"K/DA, Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine, League of Legends"
Got It On Me,Pop Smoke
Beautiful People (feat. Khalid),Ed Sheeran
After Party,Don Toliver
Highway to Hell,AC/DC
Bet You Wanna (feat. Cardi B),BLACKPINK
"thank u, next",Ariana Grande
Love To Hate Me,BLACKPINK
TKN (feat. Travis Scott),ROSALÃA
Sanctuary,Joji
Conversations,Juice WRLD
Dolly (with Lil Uzi Vert),Lil Tecca
Physical,Dua Lipa
Sweet but Psycho,Ava Max
Hit Different,"SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign"
We Paid (feat. 42 Dugg),Lil Baby
Boss Bitch,Doja Cat
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott"
Stay Gold,BTS
Youngblood,5 Seconds of Summer
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],Dua Lipa
Lion King On Ice,J. Cole
TELL ME WHY,The Kid LAROI
What Makes You Beautiful,One Direction
Man Of The Year,Juice WRLD
The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi
Wash Us In The Blood,"Kanye West, Travis Scott"
Gangstas,Pop Smoke
Narcos,Anuel AA
Lalala,"Y2K, bbno$"
Something Special,Pop Smoke
