Name,Artist
STAY (with Justin Bieber),The Kid LAROI
Save Your Tears,The Weeknd
Sweater Weather,The Neighbourhood
Wants and Needs (feat. Lil Baby),Drake
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
The Nights,Avicii
Take Me To Church,Hozier
Holiday,KSI
Alcohol-Free,TWICE
Closer,"The Chainsmokers, Halsey"
Do I Wanna Know?,Arctic Monkeys
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole
Something Just Like This,"The Chainsmokers, Coldplay"
Boy With Luv (feat. Halsey),BTS
In the morning,ITZY
Wishing Well,Juice WRLD
Put Your Records On,Ritt Momney
Why'd You Only Call Me When You're High?,Arctic Monkeys
Stuck with U (with Justin Bieber),Ariana Grande
I Feel It Coming,"The Weeknd, Daft Punk"
Intentions (feat. Quavo),Justin Bieber
Sofia,Clairo
Don't Play,"Anne-Marie, KSI, Digital Farm Animals"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez, Jack Harlow"
Spicy (feat. Post Malone),Ty Dolla $ign
Blueberry Eyes (feat. SUGA of BTS),MAX
Still Don't Know My Name,Labrinth
the last great american dynasty,Taylor Swift
Rags2Riches (feat. ATR Son Son),Rod Wave
Wow.,Post Malone
ocean eyes,Billie Eilish
Story of My Life,One Direction
eight(Prod.&Feat. SUGA of BTS),IU
BUTTERFLY EFFECT,Travis Scott
STARGAZING,Travis Scott
Hate Me (with Juice WRLD),Ellie Goulding
Who (feat. BTS),Lauv
Black Swan,BTS
JACKBOYS,JACKBOYS
Life Goes On,BTS
0X1=LOVESONG (I Know I Love you),"TOMORROW X TOGETHER, Seori"
