Name,Artist
traitor,Olivia Rodrigo
deja vu,Olivia Rodrigo
Need To Know,Doja Cat
Ain't Shit,Doja Cat
drivers license,Olivia Rodrigo
happier,Olivia Rodrigo
favorite crime,Olivia Rodrigo
Heartbreak Anniversary,Giveon
Arcade,Duncan Laurence
Reckless,Madison Beer
Talking to the Moon,Bruno Mars
lovely (with Khalid),Billie Eilish
Streets,Doja Cat
Perfect,Ed Sheeran
Heather,Conan Gray
you broke me first,Tate McRae
enough for you,Olivia Rodrigo
Daddy Issues,The Neighbourhood
Memories,Maroon 5
Here's Your Perfect,Jamie Miller
Bohemian Rhapsody - Remastered 2011,Queen
Shallow,"Lady Gaga, Bradley Cooper"
Yellow,Coldplay
What You Know Bout Love,Pop Smoke
Runaway,AURORA
Lucid Dreams,Juice WRLD
bad guy,Billie Eilish
"1 step forward, 3 steps back",Olivia Rodrigo
Say You Won't Let Go,James Arthur
All of Me,John Legend
The Hills,The Weeknd
Good Days,SZA
7 rings,Ariana Grande
Lost Cause,Billie Eilish
Wrecked,Imagine Dragons
hope ur ok,Olivia Rodrigo
Your Power,Billie Eilish
Been Like This,Doja Cat
Jocelyn Flores,XXXTENTACION
HIGHEST IN THE ROOM,Travis Scott
Black Hearted,Polo G
Somebody That I Used To Know,"Gotye, Kimbra"
Butter ,BTS
Ramen & OJ,"Joyner Lucas, Lil Baby"
WITHOUT YOU (with Miley Cyrus),The Kid LAROI
Falling,Harry Styles
everything i wanted,Billie Eilish
At My Worst,Pink Sweat$
Met Him Last Night (feat. Ariana Grande),Demi Lovato
Train Wreck,James Arthur
When I Was Your Man,Bruno Mars
We Were Happy (Taylorâ€™s Version) (From The Vault),Taylor Swift
2 Much,Justin Bieber
Hope,XXXTENTACION
Mood Swings (feat. Lil Tjay),Pop Smoke
rockstar (feat. 21 Savage),Post Malone
Photograph,Ed Sheeran
Moonlight,XXXTENTACION
Thinking out Loud,Ed Sheeran
Earned It (Fifty Shades Of Grey),The Weeknd
Everybody Dies In Their Nightmares,XXXTENTACION
Lo Vas A Olvidar (with ROSALÃA),Billie Eilish
You (with Marshmello & Vance Joy),benny blanco
Call Out My Name,The Weeknd
pov,Ariana Grande
All I Want for Christmas Is You,Mariah Carey
I'll Be Home,Meghan Trainor
Mirrors,Justin Timberlake
Are You Bored Yet? (feat. Clairo),Wallows
Sweet Melody,Little Mix
SLOW DANCING IN THE DARK,Joji
my hair,Ariana Grande
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi"
Someone Like You,Adele
It's You,Ali Gatie
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money
Gimme Love,Joji
Ew,Joji
exile (feat. Bon Iver),Taylor Swift
Chicago Freestyle (feat. Giveon),Drake
"The Plan - From the Motion Picture ""TENET""",Travis Scott
I'm Yours,Jason Mraz
invisible string,Taylor Swift
Stay High,Juice WRLD
This City,Sam Fischer
Aim For The Moon (feat. Quavo),Pop Smoke
Better Now,Post Malone
Daisies,Katy Perry
I Like Me Better,Lauv
Money In The Grave (Drake ft. Rick Ross),Drake
No Idea,Don Toliver
Lights Up,Harry Styles
Lose You To Love Me,Selena Gomez
Girls Like You (feat. Cardi B),Maroon 5
Snow On Tha Bluff,J. Cole
IDK You Yet,Alexander 23
Selfish,Madison Beer
Surrender,Natalie Taylor
Let Me Down Slowly,Alec Benjamin
changes,XXXTENTACION
Hardest To Love,The Weeknd
I Fall Apart,Post Malone
Trampoline (with ZAYN),SHAED
bury a friend,Billie Eilish
Too Good At Goodbyes,Sam Smith
HIGHEST IN THE ROOM (feat. ROSALÃA & Lil Baby) - REMIX,Travis Scott
Eleven,Khalid
Trampoline,"SHAED, ZAYN"
Havana (feat. Young Thug),Camila Cabello
